scenario,planner,resolution,peak_mem_mb,status
C1,astar,4.0,1.16,SUCESSO
C1,astar,2.0,9.88,SUCESSO
C5,astar,2.0,0.4,SUCESSO
C5,astar,1.0,3.08,SUCESSO
C6,astar,4.0,1.3,SUCESSO
C6,astar,2.0,10.22,SUCESSO
C2,astar,4.0,0.57,SUCESSO
C2,astar,2.0,3.85,SUCESSO
C3,astar,1.0,0.73,SUCESSO
C3,astar,0.5,3.91,SUCESSO
C4,astar,2.0,1.14,SUCESSO
C4,astar,1.0,9.11,SUCESSO
C1,rrt_star,,0.38,SUCESSO
C5,rrt_star,,0.22,SUCESSO
C6,rrt_star,,1.02,SUCESSO
C2,rrt_star,,0.44,SUCESSO
C3,rrt_star,,0.42,SUCESSO
C4,rrt_star,,0.36,SUCESSO
