scenario,condition,uncertainty,planner,resolution,seed,status,detail,t_initial_ms,t_first_solution_ms,n_replans,replan_ms_mean,replan_ms_max,initial_pct_budget,replan_pct_budget_max,realtime_ok,energy_planned_wh,energy_exec_wh,delta_e_wh,abs_delta_e_wh,e_air_wh,e_water_wh,e_transition_wh,length_planned_m,length_exec_m,n_waypoints,min_clearance_m,mission_time_s,wall_s
C1,K1,,astar,4.0,2,SUCESSO,replanner setup 0.38s,191.64333500157227,191.64333500157227,0,,,0.10514067392074408,,1,3.765032658883365,3.9953222854949333,-0.23028962661156838,0.23028962661156838,3.9953222854949333,0.0,0.0,182.2732610084225,183.46573996710578,5,1.038384005660121,64.40000000000038,0.657680108999557
C1,K1,,astar,4.0,1,SUCESSO,replanner setup 0.39s,204.10957199965196,204.10957199965196,0,,,0.11244450973274468,,1,3.7494789539134565,3.995128466634942,-0.2456495127214855,0.2456495127214855,3.995128466634942,0.0,0.0,181.52026495982287,182.74856057672827,5,1.6244365947640595,64.40000000000038,0.6744955370013486
C1,K1,,astar,4.0,0,SUCESSO,replanner setup 0.37s,202.89143000081822,202.89143000081822,0,,,0.1109999475061899,,1,3.7756065722250014,4.00831227033401,-0.23270569810900898,0.23270569810900898,4.00831227033401,0.0,0.0,182.78515851505605,183.98847874173592,5,1.0471057818289156,64.60000000000038,0.6589922019993537
C1,K1,,astar,2.0,0,SUCESSO,replanner setup 2.97s,1603.6728479994053,1603.6728479994053,0,,,0.8785555154002537,,1,3.7704429203527594,4.007200554783392,-0.23675763443063236,0.23675763443063236,4.007200554783392,0.0,0.0,182.53517505593277,183.7509805886891,3,1.0872710134282992,64.60000000000038,4.661709261999931
C1,K1,,astar,2.0,2,SUCESSO,replanner setup 2.99s,1568.2078190002358,1568.2078190002358,0,,,0.858865141949957,,1,3.7715896843214654,4.007180468687559,-0.2355907843660936,0.2355907843660936,4.007180468687559,0.0,0.0,182.59069350978615,183.80972826626774,3,1.2258217365733675,64.60000000000038,4.646827797001606
C1,K1,,astar,2.0,1,SUCESSO,replanner setup 3.03s,1582.6068749993283,1582.6068749993283,0,,,0.8656072681772594,,1,3.7765736392384084,4.007217024396639,-0.2306433851582308,0.2306433851582308,4.007217024396639,0.0,0.0,182.83197625314318,184.04199945561007,3,1.6162198992207797,64.60000000000038,4.692253664999953
C1,K1,,rrt_star,,1,SUCESSO,,5007.279510000444,172.77526299949386,0,,,2.7195218355554975,,1,3.8032516767150417,4.046218423267899,-0.24296674655285688,0.24296674655285688,4.046218423267899,0.0,0.0,184.12352658965293,185.34460869215258,5,1.146702990968544,65.20000000000039,5.089144064999346
C1,K1,,rrt_star,,2,SUCESSO,,5007.812068999556,339.1744229993492,0,,,2.612192673723164,,1,3.959940083133339,4.193515628950151,-0.23357554581681228,0.23357554581681228,4.193515628950151,0.0,0.0,191.70913843280596,192.92993593419553,4,1.7387688456726627,67.60000000000042,5.085338505999971
C1,K1,,rrt_star,,0,SUCESSO,,5005.073128999356,276.5692899993155,0,,,2.7328158259776494,,1,3.783082921043269,4.019774867427998,-0.2366919463847288,0.2366919463847288,4.019774867427998,0.0,0.0,183.14710714941134,184.380906284034,3,1.506327947580901,64.80000000000038,5.081077129001642
C1,K1,,rrt_star,,3,SUCESSO,,5009.088965000046,236.54807200000505,0,,,2.7576915962977995,,1,3.751965437215674,3.982679878779736,-0.23071444156406207,0.23071444156406207,3.982679878779736,0.0,0.0,181.64065088803792,182.84097603819802,5,1.157278377739201,64.20000000000037,5.088923213999806
