scenario,condition,uncertainty,planner,resolution,runs,pct_SUCESSO,pct_SEM_CAMINHO,pct_TIMEOUT,pct_ENERGIA_INSUFICIENTE,pct_TEMPO_TOTAL_EXCEDIDO,pct_COLISAO,t_initial_ms_mean,t_initial_ms_std,t_first_solution_ms_mean,t_first_solution_ms_std,n_replans_mean,n_replans_std,replan_ms_mean_mean,replan_ms_mean_std,replan_ms_max_mean,replan_ms_max_std,initial_pct_budget_mean,initial_pct_budget_std,replan_pct_budget_max_mean,replan_pct_budget_max_std,energy_planned_wh_mean,energy_planned_wh_std,energy_exec_wh_mean,energy_exec_wh_std,abs_delta_e_wh_mean,abs_delta_e_wh_std,length_planned_m_mean,length_planned_m_std,length_exec_m_mean,length_exec_m_std,n_waypoints_mean,n_waypoints_std,min_clearance_m_mean,min_clearance_m_std,mission_time_s_mean,mission_time_s_std,realtime_ok_pct
C1,K1,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,1584.829,14.564,1584.829,14.564,0.0,0.0,,,,,0.868,0.008,,,3.773,0.003,4.007,0.0,0.234,0.003,182.653,0.129,183.868,0.126,3.0,0.0,1.31,0.224,64.6,0.0,100.0
C1,K1,,astar,4.0,3,100.0,0.0,0.0,0.0,0.0,0.0,199.548,5.612,199.548,5.612,0.0,0.0,,,,,0.11,0.003,,,3.763,0.011,4.0,0.006,0.236,0.007,182.193,0.52,183.401,0.508,5.0,0.0,1.237,0.274,64.467,0.094,100.0
C1,K1,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5009.63,3.394,239.276,48.574,0.0,0.0,,,,,2.738,0.032,,,3.779,0.045,4.023,0.056,0.244,0.022,182.968,2.169,184.217,2.226,4.2,0.909,1.296,0.409,64.847,0.891,100.0
C1,K2,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,3056.711,17.417,3056.711,17.417,2.0,0.0,96.648,9.95,107.397,16.585,1.687,0.01,0.059,0.009,3.742,0.001,4.044,0.001,0.303,0.0,181.143,0.068,185.106,0.118,3.0,0.0,1.114,0.007,65.193,0.02,100.0
C1,K2,,astar,4.0,3,100.0,0.0,0.0,0.0,0.0,0.0,359.393,17.844,359.393,17.844,1.333,0.471,21.708,8.318,23.877,9.618,0.198,0.01,0.013,0.005,3.757,0.006,4.023,0.019,0.266,0.013,181.865,0.282,184.354,0.67,4.0,0.0,1.723,0.084,64.83,0.297,100.0
C1,K2,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5011.435,3.361,450.245,106.132,1.433,1.116,257.243,182.704,298.654,185.974,2.758,0.031,0.165,0.103,3.754,0.045,4.112,0.234,0.358,0.237,181.728,2.176,187.388,10.497,3.367,0.547,1.25,0.249,66.268,3.753,100.0
C1,K3,,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,2863.583,48.949,2863.583,48.949,1.333,0.471,168.047,4.226,176.542,15.496,1.581,0.028,0.097,0.009,3.742,0.001,4.017,0.017,0.275,0.016,181.143,0.068,183.864,0.525,3.0,0.0,1.256,0.051,64.759,0.273,100.0
C1,K3,,astar,4.0,3,100.0,0.0,0.0,0.0,0.0,0.0,401.344,15.643,401.344,15.643,2.0,0.0,35.614,14.833,44.946,18.447,0.221,0.008,0.025,0.01,3.757,0.006,4.013,0.02,0.256,0.017,181.865,0.282,183.899,0.639,4.0,0.0,1.726,0.297,64.671,0.312,100.0
C1,K3,,rrt_star,,30,100.0,0.0,0.0,0.0,0.0,0.0,5010.944,2.752,417.592,94.443,2.733,2.839,296.095,208.686,405.288,201.051,2.758,0.031,0.224,0.111,3.754,0.045,4.198,0.308,0.445,0.309,181.728,2.176,189.556,13.16,3.367,0.547,1.259,0.256,67.649,4.945,100.0
C1,K4,0.02,astar,2.0,3,100.0,0.0,0.0,0.0,0.0,0.0,2942.865,39.267,2942.865,39.267,0.0,0.0,,,,,1.611,0.022,,,3.773,0.003,4.007,0.0,0.234,0.003,182.653,0.129,183.868,0.126,3.0,0.0,1.31,0.224,64.6,0.0,100.0
