medium,metric,planner,mean,n,min,max
AR,mission_time_s,astar,15.825,4,14.7,16.7
AR,mission_time_s,rrt_star,17.0875,8,14.8,21.5
AR,flown_length_m,astar,36.472500000000004,4,36.4,36.62
AR,flown_length_m,rrt_star,38.510000000000005,8,36.31,45.77
AR,min_clearance_m,astar,1.5225,4,1.4,1.68
AR,min_clearance_m,rrt_star,1.47375,8,0.44,2.02
AR,max_crosstrack_m,astar,0.7575000000000001,4,0.72,0.8
AR,max_crosstrack_m,rrt_star,0.735,8,0.6,0.81
AR,final_error_m,astar,0.37249999999999994,4,0.36,0.38
AR,final_error_m,rrt_star,0.39,8,0.35,0.52
AR,exec_wh_thrust,astar,0.9954000000000001,4,0.9344,1.0443
AR,exec_wh_thrust,rrt_star,1.073075,8,0.9398,1.3311
ÁGUA,mission_time_s,astar,87.68,5,84.7,97.0
ÁGUA,mission_time_s,rrt_star,85.8,5,82.8,93.0
ÁGUA,flown_length_m,astar,17.526,5,16.89,19.38
ÁGUA,flown_length_m,rrt_star,17.270000000000003,5,16.78,18.57
ÁGUA,min_clearance_m,astar,1.51,5,0.99,2.04
ÁGUA,min_clearance_m,rrt_star,1.86,5,1.51,2.15
ÁGUA,max_crosstrack_m,astar,0.842,5,0.63,1.1
ÁGUA,max_crosstrack_m,rrt_star,0.74,5,0.49,1.1
ÁGUA,final_error_m,astar,0.55,5,0.42,1.02
ÁGUA,final_error_m,rrt_star,0.442,5,0.42,0.47
ÁGUA,exec_wh_thrust,astar,0.49432,5,0.4617,0.542
ÁGUA,exec_wh_thrust,rrt_star,0.48078000000000004,5,0.4648,0.4956
