metric,scenario,planner,value
t_first_solution_ms,C1,astar,995.6502284994713
t_first_solution_ms,C2,astar,563.6597085012909
t_first_solution_ms,C3,astar,451.13293350095773
t_first_solution_ms,C4,astar,2396.693876000427
t_first_solution_ms,C5,astar,841.1650849993748
t_first_solution_ms,C6,astar,6007.217576001494
t_first_solution_ms,C1,rrt_star,420.17085350016714
t_first_solution_ms,C2,rrt_star,240.02917100006016
t_first_solution_ms,C3,rrt_star,35.254376500233775
t_first_solution_ms,C4,rrt_star,87.7614339997308
t_first_solution_ms,C5,rrt_star,112.3729690007167
t_first_solution_ms,C6,rrt_star,489.4145769994793
replan_ms_mean,C1,astar,69.66150499965806
replan_ms_mean,C2,astar,346.7231189501945
replan_ms_mean,C3,astar,1389.467330500338
replan_ms_mean,C4,astar,
replan_ms_mean,C5,astar,476.6666895002345
replan_ms_mean,C6,astar,269.3286989997432
replan_ms_mean,C1,rrt_star,241.79624075031825
replan_ms_mean,C2,rrt_star,269.6251978328898
replan_ms_mean,C3,rrt_star,141.74914400064154
replan_ms_mean,C4,rrt_star,
replan_ms_mean,C5,rrt_star,185.35790250007264
replan_ms_mean,C6,rrt_star,128.43344324983264
peak_mem_mb,C1,astar,9.88
peak_mem_mb,C2,astar,3.85
peak_mem_mb,C3,astar,3.91
peak_mem_mb,C4,astar,9.11
peak_mem_mb,C5,astar,3.08
peak_mem_mb,C6,astar,10.22
peak_mem_mb,C1,rrt_star,0.38
peak_mem_mb,C2,rrt_star,0.44
peak_mem_mb,C3,rrt_star,0.42
peak_mem_mb,C4,rrt_star,0.36
peak_mem_mb,C5,rrt_star,0.22
peak_mem_mb,C6,rrt_star,1.02
energy_planned_wh,C1,astar,3.765032658883365
energy_planned_wh,C2,astar,3.7592331391862572
energy_planned_wh,C3,astar,0.4606878078495642
energy_planned_wh,C4,astar,0.8393488646381109
energy_planned_wh,C5,astar,0.4410934909684837
energy_planned_wh,C6,astar,3.815033425961792
energy_planned_wh,C1,rrt_star,3.7566645766796825
energy_planned_wh,C2,rrt_star,3.7390093081175344
energy_planned_wh,C3,rrt_star,0.4594557942292431
energy_planned_wh,C4,rrt_star,0.871193556808219
energy_planned_wh,C5,rrt_star,0.4543577192813423
energy_planned_wh,C6,rrt_star,4.216865575737176
abs_delta_e_wh,C1,astar,0.2367576344306323
abs_delta_e_wh,C2,astar,0.350258461345041
abs_delta_e_wh,C3,astar,0.2665441648303185
abs_delta_e_wh,C4,astar,0.2413179908314049
abs_delta_e_wh,C5,astar,0.01293425193106535
abs_delta_e_wh,C6,astar,0.3672348103652632
abs_delta_e_wh,C1,rrt_star,0.24030752631872193
abs_delta_e_wh,C2,rrt_star,0.3809142569739066
abs_delta_e_wh,C3,rrt_star,0.2541696027810704
abs_delta_e_wh,C4,rrt_star,0.2592335413851846
abs_delta_e_wh,C5,rrt_star,0.0123091108992948
abs_delta_e_wh,C6,rrt_star,0.5919186543723889
length_exec_m,C1,astar,183.8097282662677
length_exec_m,C2,astar,183.54461268471448
length_exec_m,C3,astar,23.711857970553776
length_exec_m,C4,astar,50.56640188133448
length_exec_m,C5,astar,42.19926177729943
length_exec_m,C6,astar,210.90675848452162
length_exec_m,C1,rrt_star,183.82456114493056
length_exec_m,C2,rrt_star,184.12412145268001
length_exec_m,C3,rrt_star,23.975114641221552
length_exec_m,C4,rrt_star,50.76056137908084
length_exec_m,C5,rrt_star,44.139511440164235
length_exec_m,C6,rrt_star,208.28001267637563
n_waypoints,C1,astar,3.5
n_waypoints,C2,astar,3.0
n_waypoints,C3,astar,3.0
n_waypoints,C4,astar,5.0
n_waypoints,C5,astar,4.0
n_waypoints,C6,astar,10.0
n_waypoints,C1,rrt_star,4.0
n_waypoints,C2,rrt_star,3.0
n_waypoints,C3,rrt_star,3.0
n_waypoints,C4,rrt_star,5.0
n_waypoints,C5,rrt_star,4.0
n_waypoints,C6,rrt_star,11.0
min_clearance_m,C1,astar,1.2258217365733677
min_clearance_m,C2,astar,2.090116919347637
min_clearance_m,C3,astar,1.2512839495041885
min_clearance_m,C4,astar,2.7617835312591694
min_clearance_m,C5,astar,1.8973475958900115
min_clearance_m,C6,astar,1.1558844055783064
min_clearance_m,C1,rrt_star,1.206475291921751
min_clearance_m,C2,rrt_star,2.1557959908479756
min_clearance_m,C3,rrt_star,1.330165825889901
min_clearance_m,C4,rrt_star,2.2687037424697616
min_clearance_m,C5,rrt_star,2.185423789518558
min_clearance_m,C6,rrt_star,1.3035824504304747
expected_outcome_pct,C1,astar,100.0
expected_outcome_pct,C2,astar,100.0
expected_outcome_pct,C3,astar,100.0
expected_outcome_pct,C4,astar,95.83333333333334
expected_outcome_pct,C5,astar,100.0
expected_outcome_pct,C6,astar,100.0
expected_outcome_pct,C1,rrt_star,100.0
expected_outcome_pct,C2,rrt_star,100.0
expected_outcome_pct,C3,rrt_star,100.0
expected_outcome_pct,C4,rrt_star,100.0
expected_outcome_pct,C5,rrt_star,100.0
expected_outcome_pct,C6,rrt_star,99.16666666666667
