scenario,planner,budget_s,seed,status,wall_s,first_solution_ms,energy_wh,length_m,waypoints
C1,astar,,0,SUCESSO,2.05,2046.4,3.7704,182.54,3
C1,astar,,1,SUCESSO,1.68,1672.5,3.7766,182.83,3
C1,astar,,2,SUCESSO,1.93,1922.1,3.7716,182.59,3
C1,rrt_star,1.0,0,SUCESSO,1.01,291.4,3.7831,183.15,3
C1,rrt_star,1.0,1,SUCESSO,1.01,302.6,3.8033,184.12,5
C1,rrt_star,1.0,2,SUCESSO,1.02,615.5,3.9599,191.71,4
C1,rrt_star,1.0,3,SUCESSO,1.02,557.9,3.752,181.64,5
C1,rrt_star,1.0,4,SUCESSO,1.0,375.7,3.7753,182.77,3
C1,rrt_star,1.0,5,SUCESSO,1.02,324.9,3.7354,180.84,5
C1,rrt_star,1.0,6,SUCESSO,1.02,566.1,3.7507,181.58,4
C1,rrt_star,1.0,7,SUCESSO,1.02,429.8,3.7482,181.46,5
C1,rrt_star,1.0,8,SUCESSO,1.01,337.8,3.7775,182.88,6
C1,rrt_star,1.0,9,SUCESSO,1.02,441.6,3.7421,181.16,4
C1,rrt_star,1.0,10,SUCESSO,1.02,357.1,3.7452,181.31,6
C1,rrt_star,1.0,11,SUCESSO,1.02,473.9,3.8086,184.38,5
C1,rrt_star,1.0,12,SUCESSO,1.0,213.1,3.7567,181.87,3
C1,rrt_star,1.0,13,SUCESSO,1.02,510.6,3.8656,187.14,5
C1,rrt_star,1.0,14,SUCESSO,1.01,643.1,3.7683,182.43,3
C1,rrt_star,1.0,15,SUCESSO,1.02,473.5,3.8129,184.59,4
C1,rrt_star,1.0,16,SUCESSO,1.02,311.3,3.7971,183.83,5
C1,rrt_star,1.0,17,SUCESSO,1.02,522.6,3.7661,182.32,4
C1,rrt_star,1.0,18,SUCESSO,1.01,625.9,3.7645,182.25,4
C1,rrt_star,1.0,19,SUCESSO,1.01,372.8,3.807,184.3,3
C1,rrt_star,2.0,0,SUCESSO,2.01,495.4,3.7831,183.15,3
C1,rrt_star,2.0,1,SUCESSO,2.02,402.6,3.8033,184.12,5
C1,rrt_star,2.0,2,SUCESSO,2.02,596.0,3.9599,191.71,4
C1,rrt_star,2.0,3,SUCESSO,2.02,418.1,3.752,181.64,5
C1,rrt_star,2.0,4,SUCESSO,2.01,295.1,3.7753,182.77,3
C1,rrt_star,2.0,5,SUCESSO,2.01,218.5,3.7354,180.84,5
C1,rrt_star,2.0,6,SUCESSO,2.02,540.6,3.7507,181.58,4
C1,rrt_star,2.0,7,SUCESSO,2.02,543.1,3.7482,181.46,5
C1,rrt_star,2.0,8,SUCESSO,2.02,486.0,3.7775,182.88,6
C1,rrt_star,2.0,9,SUCESSO,2.02,440.1,3.7421,181.16,4
C1,rrt_star,2.0,10,SUCESSO,2.02,361.2,3.7452,181.31,6
C1,rrt_star,2.0,11,SUCESSO,2.02,355.4,3.8086,184.38,5
C1,rrt_star,2.0,12,SUCESSO,2.0,199.2,3.7567,181.87,3
C1,rrt_star,2.0,13,SUCESSO,2.02,302.6,3.8656,187.14,5
C1,rrt_star,2.0,14,SUCESSO,2.01,489.9,3.7683,182.43,3
C1,rrt_star,2.0,15,SUCESSO,2.02,594.9,3.8129,184.59,4
C1,rrt_star,2.0,16,SUCESSO,2.01,279.9,3.7971,183.83,5
C1,rrt_star,2.0,17,SUCESSO,2.01,228.3,3.7661,182.32,4
C1,rrt_star,2.0,18,SUCESSO,2.02,804.0,3.7645,182.25,4
C1,rrt_star,2.0,19,SUCESSO,2.01,798.9,3.807,184.3,3
C1,rrt_star,5.0,0,SUCESSO,5.01,658.5,3.7831,183.15,3
C1,rrt_star,5.0,1,SUCESSO,5.02,406.6,3.8033,184.12,5
C1,rrt_star,5.0,2,SUCESSO,5.01,601.0,3.9599,191.71,4
C1,rrt_star,5.0,3,SUCESSO,5.01,255.7,3.752,181.64,5
C1,rrt_star,5.0,4,SUCESSO,5.01,642.5,3.7753,182.77,3
C1,rrt_star,5.0,5,SUCESSO,5.02,357.5,3.7354,180.84,5
C1,rrt_star,5.0,6,SUCESSO,5.01,239.0,3.7507,181.58,4
C1,rrt_star,5.0,7,SUCESSO,5.02,415.6,3.7482,181.46,5
C1,rrt_star,5.0,8,SUCESSO,5.01,344.5,3.7775,182.88,6
C1,rrt_star,5.0,9,SUCESSO,5.01,343.2,3.7421,181.16,4
C1,rrt_star,5.0,10,SUCESSO,5.02,220.7,3.7452,181.31,6
C1,rrt_star,5.0,11,SUCESSO,5.02,470.1,3.8086,184.38,5
C1,rrt_star,5.0,12,SUCESSO,5.01,469.4,3.7567,181.87,3
C1,rrt_star,5.0,13,SUCESSO,5.02,654.7,3.8656,187.14,5
C1,rrt_star,5.0,14,SUCESSO,5.01,496.2,3.7683,182.43,3
C1,rrt_star,5.0,15,SUCESSO,5.01,273.0,3.8129,184.59,4
C1,rrt_star,5.0,16,SUCESSO,5.02,573.8,3.7971,183.83,5
C1,rrt_star,5.0,17,SUCESSO,5.01,416.1,3.7558,181.83,4
C1,rrt_star,5.0,18,SUCESSO,5.01,414.2,3.7645,182.25,4
C1,rrt_star,5.0,19,SUCESSO,5.01,637.4,3.807,184.3,3
C1,rrt_star,10.0,0,SUCESSO,10.01,525.1,3.7831,183.15,3
C1,rrt_star,10.0,1,SUCESSO,10.01,331.7,3.8033,184.12,5
