scenario,budget_s,median,q25,q75,min,n_ok,n_fail,astar_wh
C1,1.0,0.01,-0.53,0.87,-0.96,20,0.0,3.772
C1,2.0,0.01,-0.53,0.87,-0.96,20,0.0,3.772
C1,5.0,0.01,-0.53,0.87,-0.96,20,0.0,3.772
C1,10.0,0.01,-0.53,0.87,-0.96,20,0.0,3.772
C1,20.0,0.01,-0.53,0.72,-0.96,20,0.0,3.772
C1,40.0,0.01,-0.55,0.84,-0.97,20,0.0,3.772
C4,1.0,25.38,21.47,27.09,-0.05,20,0.0,0.802
C4,2.0,20.83,4.63,26.34,-0.05,20,0.0,0.802
C4,5.0,4.59,0.64,18.87,-3.17,20,0.0,0.802
C4,10.0,2.26,-0.58,4.28,-3.17,20,0.0,0.802
C4,20.0,-0.53,-2.44,0.65,-5.04,20,0.0,0.802
C4,40.0,-2.04,-3.15,-0.55,-5.04,20,0.0,0.802
C5,1.0,7.22,4.55,11.38,-0.05,20,0.0,0.437
C5,2.0,5.0,1.4,8.15,0.27,20,0.0,0.437
C5,5.0,2.09,1.25,3.9,0.27,20,0.0,0.437
C5,10.0,1.16,0.81,1.46,0.27,20,0.0,0.437
C5,20.0,0.82,0.57,1.33,0.27,20,0.0,0.437
C5,40.0,0.71,0.49,1.06,0.02,20,0.0,0.437
C6,1.0,11.41,8.25,12.74,2.17,20,0.0,3.778
C6,2.0,11.41,8.15,12.66,1.75,20,0.0,3.778
C6,5.0,11.4,8.15,12.63,1.75,20,0.0,3.778
C6,10.0,9.49,5.94,12.56,1.75,20,0.0,3.778
C6,20.0,5.89,2.34,10.78,-3.72,20,0.0,3.778
C6,40.0,-2.97,-3.99,0.02,-5.47,20,0.0,3.778
