run_id,scenario,condition,planner,resolution,seed,status,detail,t_initial_ms,n_waypoints,planned_wh,exec_wh_thrust,delta_e_thrust_wh,exec_wh_kinematic,delta_e_kin_wh,planned_length_m,flown_length_m,mission_time_s,n_replans,replan_ms_mean,replan_ms_max,stops_at_waypoints,min_clearance_m,collided,max_crosstrack_m,mean_speed_mps,max_speed_mps,final_error_m
b1_poles_astar_K1_s0,B1,K1,astar,1.0,0,SUCESSO,,51.67834799794946,3,0.8197897596637347,0.9344,-0.1146,0.87,-0.0502,35.01209458973748,36.45,14.7,0,,,0,1.57,0,0.8,2.48,5.1,0.36
b1_poles_astar_K2_s0,B1,K2,astar,1.0,0,SUCESSO,,42.188421000901144,3,0.8111042515824465,0.9976,-0.1865,0.9426,-0.1315,34.64114846913611,36.42,15.9,1,67.1,67.1,0,1.68,0,0.79,2.29,4.92,0.37
b1_poles_rrt_star_K1_s0,B1,K1,rrt_star,,0,SUCESSO,,4002.6916850001726,3,0.8227870436125987,0.9398,-0.1171,0.8758,-0.053,35.140105213028605,36.56,14.8,0,,,0,1.8,0,0.77,2.47,5.07,0.37
b1_poles_rrt_star_K1_s1,B1,K1,rrt_star,,1,SUCESSO,,4002.83254599708,4,0.8231327387068402,0.9833,-0.1602,0.9241,-0.101,35.154870092047815,36.31,15.6,0,,,0,1.68,0,0.65,2.33,5.1,0.38
b1_poles_rrt_star_K2_s0,B1,K2,rrt_star,,0,SUCESSO,,4001.749535000272,3,0.813149377353675,1.0255,-0.2124,0.9713,-0.1581,34.72849329115408,36.71,16.3,1,9.5,9.5,0,2.02,0,0.77,2.24,4.8,0.35
b1_poles_rrt_star_K2_s1,B1,K2,rrt_star,,1,COLISAO,,4002.1534439983952,3,0.8165831186352119,1.2919,-0.4754,1.2527,-0.4361,34.87514337823053,45.77,20.5,11,5.6,15.7,1,0.44,1,0.8,2.23,5.1,0.52
b2_gate_astar_K1_s0,B2,K1,astar,1.0,0,SUCESSO,,51.48084999746061,5,0.8209204874395581,1.0443,-0.2234,0.9913,-0.1704,35.060386420657444,36.4,16.7,0,,,0,1.4,0,0.72,2.18,5.07,0.38
b2_gate_astar_K2_s0,B2,K2,astar,1.0,0,SUCESSO,,50.741735998599324,4,0.8288859652814263,1.0053,-0.1764,0.95,-0.1211,35.40058104377461,36.62,16.0,5,11.0,36.5,0,1.44,0,0.72,2.28,5.07,0.38
b2_gate_rrt_star_K1_s0,B2,K1,rrt_star,,0,SUCESSO,,4001.24071800019,4,0.8235423084967157,1.0216,-0.1981,0.9666,-0.143,35.172360831384744,36.55,16.3,0,,,0,1.39,0,0.76,2.24,5.0,0.35
b2_gate_rrt_star_K1_s1,B2,K1,rrt_star,,1,SUCESSO,,4001.6663869973854,4,0.8227213955736448,0.9585,-0.1357,0.8992,-0.0765,35.137301687595276,36.55,15.2,0,,,0,1.28,0,0.81,2.4,5.06,0.37
b2_gate_rrt_star_K2_s0,B2,K2,rrt_star,,0,SUCESSO,,4001.3708129990846,4,0.8235423084967157,1.0329,-0.2094,0.9808,-0.1573,35.172360831384744,36.54,16.5,1,9.4,9.4,0,1.72,0,0.72,2.21,5.0,0.38
b2_gate_rrt_star_K2_s1,B2,K2,rrt_star,,1,SUCESSO,,4000.9176089988614,5,0.8253548587355974,1.3311,-0.5058,1.2808,-0.4555,35.24978298385345,43.09,21.5,7,4.6,7.9,1,1.46,0,0.6,2.0,4.92,0.4
