run_id,scenario,condition,planner,resolution,seed,status,detail,t_initial_ms,n_waypoints,planned_wh,exec_wh_thrust,delta_e_thrust_wh,exec_wh_kinematic,delta_e_kin_wh,planned_length_m,flown_length_m,mission_time_s,n_replans,replan_ms_mean,replan_ms_max,stops_at_waypoints,min_clearance_m,collided,max_crosstrack_m,mean_speed_mps,max_speed_mps,final_error_m
b1_poles_astar_K1_s0,B1,K1,astar,1.0,0,SUCESSO,,62.12841299930005,3,0.8197897596637347,0.9274,-0.1076,0.863,-0.0432,35.01209458973748,36.43,14.6,0,,,0,1.57,0,0.8,2.5,5.1,0.39
b1_poles_astar_K2_s0,B1,K2,astar,1.0,0,SUCESSO,,48.38502299935499,3,0.8111042515824465,1.0083,-0.1972,0.9536,-0.1425,34.64114846913611,36.42,16.0,2,69.5,81.3,0,1.67,0,0.79,2.27,4.93,0.37
b1_poles_rrt_star_K1_s0,B1,K1,rrt_star,,0,SUCESSO,,4000.8097190002445,4,0.8298504971743466,1.1272,-0.2974,1.0734,-0.2436,35.44178894170234,37.29,18.0,0,,,1,1.41,0,0.96,2.07,5.01,0.35
b1_poles_rrt_star_K1_s1,B1,K1,rrt_star,,1,SUCESSO,,4002.017605000219,4,0.8276704752119047,1.0078,-0.1801,0.9522,-0.1246,35.34867112563294,36.99,16.0,0,,,0,1.62,0,0.86,2.31,4.97,0.36
b1_poles_rrt_star_K2_s0,B1,K2,rrt_star,,0,SUCESSO,,4002.525150999645,3,0.8114933970872481,0.9719,-0.1604,0.909,-0.0975,34.657768898582134,39.44,15.3,1,8.6,8.6,1,1.76,0,0.85,2.57,4.96,0.28
b1_poles_rrt_star_K2_s1,B1,K2,rrt_star,,1,SUCESSO,,4002.1001160002925,3,0.8136451619589256,0.9843,-0.1707,0.9239,-0.1103,34.749667600892224,38.1,15.5,1,10.5,10.5,0,2.13,0,0.96,2.45,4.98,0.37
b2_gate_astar_K1_s0,B2,K1,astar,1.0,0,SUCESSO,,61.588904000018374,5,0.8209204874395581,1.0385,-0.2176,0.985,-0.1641,35.060386420657444,36.46,16.6,0,,,0,1.34,0,0.76,2.19,5.07,0.37
b2_gate_astar_K2_s0,B2,K2,astar,1.0,0,SUCESSO,,60.66582499988726,4,0.8288859652814263,0.9794,-0.1505,0.9216,-0.0927,35.40058104377461,36.6,15.6,6,14.2,34.2,0,1.54,0,0.81,2.35,5.07,0.35
b2_gate_rrt_star_K1_s0,B2,K1,rrt_star,,0,SUCESSO,,4002.506099001039,4,0.8290292973607793,0.9898,-0.1608,0.9316,-0.1026,35.406703203125275,36.85,15.7,0,,,0,1.42,0,0.8,2.35,5.09,0.38
b2_gate_rrt_star_K1_s1,B2,K1,rrt_star,,1,SUCESSO,,4003.0910360001144,5,0.8326200607312108,7.0984,-6.2657,5.3819,-4.5493,35.56006862011257,39.94,91.1,0,,,0,1.47,0,2.05,0.44,4.33,0.43
b2_gate_rrt_star_K2_s0,B2,K2,rrt_star,,0,SUCESSO,,4002.03858399982,3,0.8270243140441716,1.2422,-0.4151,1.1793,-0.3523,35.321072946919365,44.59,19.7,9,3.7,12.0,1,1.15,0,0.46,2.26,5.09,0.24
b2_gate_rrt_star_K2_s1,B2,K2,rrt_star,,1,SUCESSO,,4002.6107340017916,4,0.8290970123538297,3.2367,-2.4076,4.9693,-4.1402,35.4096034459201,42.9,84.1,5,4.3,5.3,1,1.6,0,1.55,0.51,4.31,0.32
