run_id,scenario,condition,planner,resolution,seed,status,detail,t_initial_ms,n_waypoints,planned_wh,exec_wh_thrust,delta_e_thrust_wh,exec_wh_kinematic,delta_e_kin_wh,planned_length_m,flown_length_m,mission_time_s,n_replans,replan_ms_mean,replan_ms_max,stops_at_waypoints,min_clearance_m,collided,max_crosstrack_m,mean_speed_mps,max_speed_mps,final_error_m
b1_poles_astar_K1_s0,B1,K1,astar,1.0,0,SUCESSO,,48.312980001355754,3,0.8197897596637347,0.9647,-0.1449,0.9036,-0.0839,35.01209458973748,36.7,15.3,0,,,0,1.58,0,0.91,2.4,5.06,0.35
b1_poles_astar_K2_s0,B1,K2,astar,1.0,0,SUCESSO,,35.69447099653189,3,0.8111042515824465,1.0472,-0.2361,0.996,-0.1849,34.64114846913611,36.61,16.8,1,110.3,110.3,0,1.83,0,0.87,2.18,4.9,0.39
b1_poles_rrt_star_K1_s0,B1,K1,rrt_star,,0,SUCESSO,,4000.807608001196,3,0.8227870436125987,0.9708,-0.148,0.91,-0.0872,35.140105213028605,36.83,15.4,0,,,0,1.81,0,0.87,2.39,5.04,0.4
b1_poles_rrt_star_K2_s0,B1,K2,rrt_star,,0,SUCESSO,,4000.8793990054983,3,0.8125664477941266,1.3222,-0.5096,1.2589,-0.4464,34.7035991263805,45.31,21.2,8,3.9,6.4,1,1.87,0,0.82,2.14,4.93,0.41
b2_gate_astar_K1_s0,B2,K1,astar,1.0,0,SUCESSO,,46.00612899957923,5,0.8209204874395581,1.0737,-0.2528,1.0233,-0.2024,35.060386420657444,36.74,17.3,0,,,0,1.31,0,0.86,2.12,5.04,0.35
b2_gate_astar_K2_s0,B2,K2,astar,1.0,0,SUCESSO,,43.15133900308865,4,0.8288859652814263,1.0376,-0.2088,0.9818,-0.1529,35.40058104377461,36.9,16.6,4,20.2,35.2,0,1.52,0,0.96,2.22,5.05,0.44
b2_gate_rrt_star_K1_s0,B2,K1,rrt_star,,0,SUCESSO,,4002.889616000175,4,0.8235423084967157,1.0409,-0.2173,0.9889,-0.1654,35.172360831384744,36.77,16.7,0,,,0,1.33,0,0.87,2.2,4.96,0.39
b2_gate_rrt_star_K2_s0,B2,K2,rrt_star,,0,SUCESSO,,4001.2696480007435,4,0.8268985723081641,1.0998,-0.2729,1.0523,-0.2254,35.315709328250165,37.11,17.7,1,17.5,17.5,0,1.69,0,0.81,2.09,4.96,0.4
b3_field_astar_K1_s0,B3,K1,astar,1.0,0,SUCESSO,,49.51712499678251,6,0.8737056517129007,1.1816,-0.3079,1.135,-0.2613,37.314768283340804,38.71,19.1,0,,,0,1.36,0,0.83,2.03,4.83,0.39
b3_field_astar_K2_s0,B3,K2,astar,1.0,0,SUCESSO,,29.41909599758219,4,0.8522790089468019,1.226,-0.3737,1.1707,-0.3184,36.39966579933558,39.37,19.7,6,39.7,149.9,1,1.49,0,1.12,2.0,4.89,0.44
b3_field_astar_K3_s0,B3,K3,astar,1.0,0,SUCESSO,,32.49116499864613,4,0.8522790089468019,1.1355,-0.2832,1.0876,-0.2353,36.39966579933558,39.1,18.3,2,204.4,297.1,0,1.0,0,0.9,2.14,4.71,0.38
b3_field_astar_K5_s0,B3,K5,astar,1.0,0,SUCESSO,,47.7512299985392,6,0.8737056517129007,1.2107,-0.337,1.1532,-0.2795,37.314768283340804,39.74,19.4,1,32.0,32.0,0,0.99,0,1.01,2.05,4.84,0.44
