run_id,scenario,condition,planner,resolution,seed,status,detail,t_initial_ms,n_waypoints,planned_wh,exec_wh_thrust,delta_e_thrust_wh,exec_wh_kinematic,delta_e_kin_wh,planned_length_m,flown_length_m,mission_time_s,n_replans,replan_ms_mean,replan_ms_max,stops_at_waypoints,min_clearance_m,collided,max_crosstrack_m,mean_speed_mps,max_speed_mps,final_error_m
d1_poles_astar_K1_s0,D1,K1,astar,1.0,0,SUCESSO,,29.1258250035753,3,0.2655683504075462,0.4617,-0.1961,0.2587,0.0069,17.683598355045255,17.06,85.3,0,,,0,0.99,0,0.7,0.2,0.25,0.43
d1_poles_astar_K2_s0,D1,K2,astar,1.0,0,SUCESSO,,20.173387998511316,3,0.25200633137554945,0.4822,-0.2302,0.2622,-0.0102,16.780534051346145,17.31,86.0,6,67.4,160.6,0,1.15,0,0.63,0.2,0.26,0.42
d1_poles_astar_K5_s0,D1,K5,astar,1.0,0,SUCESSO,,26.80724099991494,3,0.2655683504075462,0.542,-0.2764,0.2951,-0.0295,17.683598355045255,19.38,97.0,1,70.0,70.0,0,1.36,0,0.9,0.2,0.24,0.46
d1_poles_rrt_star_K1_s0,D1,K1,rrt_star,,0,SUCESSO,,4003.4409909967508,6,0.2631329085729973,0.4787,-0.2156,0.2551,0.008,17.521427768252263,17.21,83.6,0,,,0,1.51,0,0.6,0.2,0.27,0.46
d1_poles_rrt_star_K2_s0,D1,K2,rrt_star,,0,SUCESSO,,4002.259219003463,3,0.2530239790765703,0.4734,-0.2204,0.282,-0.029,16.84829691986633,18.57,93.0,1,19.9,19.9,0,1.9,0,0.91,0.2,0.23,0.47
d1_poles_rrt_star_K5_s0,D1,K5,rrt_star,,0,SUCESSO,,4001.989107000554,6,0.2631329085729973,0.4648,-0.2016,0.2512,0.012,17.521427768252263,16.78,82.8,1,3.3,3.3,0,1.98,0,0.6,0.2,0.26,0.44
d2_gate_astar_K1_s0,D2,K1,astar,1.0,0,SUCESSO,,29.42096700280672,3,0.2649588271525672,0.4897,-0.2247,0.2587,0.0062,17.643011574231316,16.99,85.4,0,,,0,2.01,0,1.1,0.2,0.25,0.42
d2_gate_astar_K2_s0,D2,K2,astar,1.0,0,SUCESSO,,31.181827995169442,2,0.25574354013540135,0.496,-0.2403,0.2564,-0.0006,17.029386365926403,16.89,84.7,1,44.9,44.9,0,2.04,0,0.88,0.2,0.26,1.02
d2_gate_rrt_star_K1_s0,D2,K1,rrt_star,,0,SUCESSO,,4001.193111002067,3,0.25667029659192786,0.4914,-0.2347,0.2553,0.0014,17.09109699117602,16.81,84.3,0,,,0,1.76,0,1.1,0.2,0.26,0.42
d2_gate_rrt_star_K2_s0,D2,K2,rrt_star,,0,SUCESSO,,4003.134776990919,2,0.25574354013540135,0.4956,-0.2399,0.2583,-0.0026,17.029386365926403,16.98,85.3,1,6.8,6.8,0,2.15,0,0.49,0.2,0.26,0.42
