video,scenario,condition,planner,status,planned_wh,planned_length_m,n_replans,n_waypoints
air_astar.mp4,B1,K2,astar,SUCESSO,0.811,34.64,1,3
air_rrt_star.mp4,B1,K2,rrt_star,SUCESSO,0.813,34.7,1,3
water_astar.mp4,D1,K2,astar,SUCESSO,0.252,16.78,5,3
water_rrt_star.mp4,D1,K2,rrt_star,SUCESSO,0.257,17.14,1,3
air_gate_rrt_star.mp4,B2,K2,rrt_star,SUCESSO,0.824,35.17,1,4
water_gate_astar.mp4,D2,K2,astar,SUCESSO,0.256,17.03,1,2
water_gate_rrt_star.mp4,D2,K2,rrt_star,SUCESSO,0.256,17.03,1,2
water_blocks_astar.mp4,D3,K2,astar,SUCESSO,0.433,28.8,105,6
water_blocks_rrt_star.mp4,D3,K2,rrt_star,SUCESSO,0.414,27.55,44,7
air_gate_astar.mp4,B2,K2,astar,SUCESSO,0.829,35.4,5,4
air_blocks_astar.mp4,B4,K2,astar,SUCESSO,1.002,42.81,6,6
air_blocks_rrt_star.mp4,B4,K2,rrt_star,SUCESSO,0.997,42.57,7,7
