t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,roll_rate,pitch_rate,yaw_rate
1.3002,0.0138,-0.0149,0.1861,-0.0187,-0.0192,0.0034,0.1738,-0.1623,88.0456,0.0004,-0.0003,-0.0031
1.4003,0.0138,-0.0149,0.1861,-0.0187,-0.0192,0.0034,0.1738,-0.1623,88.0456,0.0004,-0.0003,-0.0031
1.5003,0.0138,-0.0149,0.1861,-0.0187,-0.0192,0.0034,0.1738,-0.1623,88.0456,0.0004,-0.0003,-0.0031
1.6003,0.0138,-0.0149,0.1861,-0.0187,-0.0192,0.0034,0.1738,-0.1623,88.0456,0.0004,-0.0003,-0.0031
1.7003,0.0138,-0.0149,0.1861,-0.0187,-0.0192,0.0034,0.1738,-0.1623,88.0456,0.0004,-0.0003,-0.0031
1.8003,0.0138,-0.0149,0.1861,-0.0187,-0.0192,0.0034,0.1738,-0.1623,88.0456,0.0004,-0.0003,-0.0031
1.9003,0.0139,-0.0150,0.1835,-0.0192,-0.0193,0.0030,0.1740,-0.1624,88.0483,0.0004,-0.0003,-0.0030
2.0003,0.0139,-0.0150,0.1835,-0.0192,-0.0193,0.0030,0.1740,-0.1624,88.0483,0.0004,-0.0003,-0.0030
2.1003,0.0139,-0.0150,0.1835,-0.0192,-0.0193,0.0030,0.1740,-0.1624,88.0483,0.0004,-0.0003,-0.0030
2.2004,0.0139,-0.0150,0.1835,-0.0192,-0.0193,0.0030,0.1740,-0.1624,88.0483,0.0004,-0.0003,-0.0030
2.3003,0.0139,-0.0150,0.1835,-0.0192,-0.0193,0.0030,0.1740,-0.1624,88.0483,0.0004,-0.0003,-0.0030
2.4003,0.0144,-0.0154,0.1820,-0.0201,-0.0196,0.0029,0.1742,-0.1626,88.0511,0.0004,-0.0003,-0.0030
2.5004,0.0144,-0.0154,0.1820,-0.0201,-0.0196,0.0029,0.1742,-0.1626,88.0511,0.0004,-0.0003,-0.0030
2.6002,0.0144,-0.0154,0.1820,-0.0201,-0.0196,0.0029,0.1742,-0.1626,88.0511,0.0004,-0.0003,-0.0030
2.7003,0.0144,-0.0154,0.1820,-0.0201,-0.0196,0.0029,0.1742,-0.1626,88.0511,0.0004,-0.0003,-0.0030
2.8002,0.0144,-0.0154,0.1820,-0.0201,-0.0196,0.0029,0.1742,-0.1626,88.0511,0.0004,-0.0003,-0.0030
2.9003,0.0144,-0.0155,0.1814,-0.0193,-0.0196,0.0019,0.1743,-0.1625,88.0541,0.0004,-0.0003,-0.0029
3.0002,0.0144,-0.0155,0.1814,-0.0193,-0.0196,0.0019,0.1743,-0.1625,88.0541,0.0004,-0.0003,-0.0029
