t,x,y,z,vx,vy,vz,roll_deg,pitch_deg,yaw_deg,roll_rate,pitch_rate,yaw_rate
0.0000,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
0.1001,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
0.2000,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
0.2999,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
0.4000,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
0.4999,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
0.6001,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
0.6999,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
0.7999,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
0.8999,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
1.0001,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
1.1000,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
1.2000,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
1.3000,0.0123,-0.0112,-1.7997,-0.0147,-0.0151,-0.0038,0.0876,-0.0666,91.0892,0.0002,-0.0003,-0.0001
